binary_id,cpu_usage,memory_usage,is_anomaly,is_actual_anomaly
bin_001,95,85,True,True
bin_002,78,90,True,False
bin_003,60,60,False,True
bin_004,45,30,False,False
bin_005,88,91,True,True
File,Architecture,Path
strace,64-bit,"/usr/bin/strace"
gnome-disk-image-mounter,64-bit,"/usr/bin/gnome-disk-image-mounter"
pydoc3.12,Unknown,"/usr/bin/pydoc3.12"
fbstat,64-bit,"/usr/bin/fbstat"
foo2oak-wrapper,Unknown,"/usr/bin/foo2oak-wrapper"
colrm,64-bit,"/usr/bin/colrm"
l2ping,64-bit,"/usr/bin/l2ping"
fprintd-delete,64-bit,"/usr/bin/fprintd-delete"
gs,64-bit,"/usr/bin/gs"
ps2pdf14,Unknown,"/usr/bin/ps2pdf14"
runc,64-bit,"/usr/bin/runc"
pw-midiplay,Unknown,"/usr/bin/pw-midiplay"
kbxutil,64-bit,"/usr/bin/kbxutil"
hexdump,64-bit,"/usr/bin/hexdump"
oem-getlogs,Unknown,"/usr/bin/oem-getlogs"
pair_align,Unknown,"/usr/bin/pair_align"
deb-systemd-invoke,Unknown,"/usr/bin/deb-systemd-invoke"
peglgears.x86_64-linux-gnu,64-bit,"/usr/bin/peglgears.x86_64-linux-gnu"
prime-select,Unknown,"/usr/bin/prime-select"
passwd,64-bit,"/usr/bin/passwd"
codepage,64-bit,"/usr/bin/codepage"
prlimit,64-bit,"/usr/bin/prlimit"
ntfsmove,64-bit,"/usr/bin/ntfsmove"
aplaymidi,64-bit,"/usr/bin/aplaymidi"
esc-m,64-bit,"/usr/bin/esc-m"
rdma,64-bit,"/usr/bin/rdma"
snapctl,Unknown,"/usr/bin/snapctl"
rustc,64-bit,"/usr/bin/rustc"
gnome-system-monitor,64-bit,"/usr/bin/gnome-system-monitor"
script,64-bit,"/usr/bin/script"
apt-ftparchive,64-bit,"/usr/bin/apt-ftparchive"
remmina-gnome,Unknown,"/usr/bin/remmina-gnome"
ps2pdf13,Unknown,"/usr/bin/ps2pdf13"
routel,Unknown,"/usr/bin/routel"
gdk-pixbuf-csource,64-bit,"/usr/bin/gdk-pixbuf-csource"
glxgears.x86_64-linux-gnu,64-bit,"/usr/bin/glxgears.x86_64-linux-gnu"
pinentry,Unknown,"/usr/bin/pinentry"
x86_64-linux-gnu-gi-decompile-typelib,Unknown,"/usr/bin/x86_64-linux-gnu-gi-decompile-typelib"
red,Unknown,"/usr/bin/red"
xeglgears,Unknown,"/usr/bin/xeglgears"
ipcrm,64-bit,"/usr/bin/ipcrm"
cpio,64-bit,"/usr/bin/cpio"
ckbcomp,Unknown,"/usr/bin/ckbcomp"
ftp,Unknown,"/usr/bin/ftp"
gnome-help,Unknown,"/usr/bin/gnome-help"
byobu-config,Unknown,"/usr/bin/byobu-config"
pygettext3,Unknown,"/usr/bin/pygettext3"
basename,64-bit,"/usr/bin/basename"
bpftrace-aotrt,64-bit,"/usr/bin/bpftrace-aotrt"
debconf-set-selections,Unknown,"/usr/bin/debconf-set-selections"
ntfsinfo,64-bit,"/usr/bin/ntfsinfo"
pt2to3,Unknown,"/usr/bin/pt2to3"
word-list-compress,64-bit,"/usr/bin/word-list-compress"
containerd,64-bit,"/usr/bin/containerd"
gcc-ranlib,Unknown,"/usr/bin/gcc-ranlib"
arch,64-bit,"/usr/bin/arch"
lomath,Unknown,"/usr/bin/lomath"
sbvarsign,64-bit,"/usr/bin/sbvarsign"
pslog,64-bit,"/usr/bin/pslog"
bmtoa,64-bit,"/usr/bin/bmtoa"
mpris-proxy,64-bit,"/usr/bin/mpris-proxy"
tty,64-bit,"/usr/bin/tty"
dpkg-deb,64-bit,"/usr/bin/dpkg-deb"
airscan-discover,64-bit,"/usr/bin/airscan-discover"
cvt,64-bit,"/usr/bin/cvt"
alsatplg,64-bit,"/usr/bin/alsatplg"
lpr,64-bit,"/usr/bin/lpr"
prove,Unknown,"/usr/bin/prove"
git,64-bit,"/usr/bin/git"
rpcgen,64-bit,"/usr/bin/rpcgen"
mako-render,Unknown,"/usr/bin/mako-render"
xsetroot,64-bit,"/usr/bin/xsetroot"
arm2hpdl,64-bit,"/usr/bin/arm2hpdl"
perl,64-bit,"/usr/bin/perl"
byobu-launch,Unknown,"/usr/bin/byobu-launch"
totem-video-thumbnailer,64-bit,"/usr/bin/totem-video-thumbnailer"
splazers,Unknown,"/usr/bin/splazers"
select-editor,Unknown,"/usr/bin/select-editor"
getconf,64-bit,"/usr/bin/getconf"
brltty-tune,64-bit,"/usr/bin/brltty-tune"
foo2xqx-wrapper,Unknown,"/usr/bin/foo2xqx-wrapper"
brltty-hid,64-bit,"/usr/bin/brltty-hid"
xlsatoms,64-bit,"/usr/bin/xlsatoms"
appstreamcli,64-bit,"/usr/bin/appstreamcli"
jpackage,Unknown,"/usr/bin/jpackage"
mimetype,Unknown,"/usr/bin/mimetype"
podchecker,Unknown,"/usr/bin/podchecker"
pw-midirecord,Unknown,"/usr/bin/pw-midirecord"
mbim-network,Unknown,"/usr/bin/mbim-network"
thunderbird,Unknown,"/usr/bin/thunderbird"
hp-clean,Unknown,"/usr/bin/hp-clean"
mkdir,64-bit,"/usr/bin/mkdir"
ntfsfallocate,64-bit,"/usr/bin/ntfsfallocate"
stat,64-bit,"/usr/bin/stat"
pdftoppm,64-bit,"/usr/bin/pdftoppm"
speaker-test,64-bit,"/usr/bin/speaker-test"
loadkeys,64-bit,"/usr/bin/loadkeys"
zforce,Unknown,"/usr/bin/zforce"
containerd-shim-runc-v2,64-bit,"/usr/bin/containerd-shim-runc-v2"
zstdmt,Unknown,"/usr/bin/zstdmt"
sponge,64-bit,"/usr/bin/sponge"
hp-probe,Unknown,"/usr/bin/hp-probe"
byobu-janitor,Unknown,"/usr/bin/byobu-janitor"
mokutil,64-bit,"/usr/bin/mokutil"
xfd,64-bit,"/usr/bin/xfd"
